make,model,year,kilometers,transmission_type,extra_features,price,priced_at
Nissan,Sunny,2015,141000,Automatic,Analoge Air Condition; Rear View Camera; Leather Seats; Electronic Window; Power mirrors; AUX; Bluetooth; USB; Touch screen; Anti-Lock Braking System (ABS); Air Bags For Driver; Air Bags Passenger,140000,2022-05-01
Nissan,Juke,2014,99999,Automatic,"",249000,2022-05-01
Nissan,Sunny,2000,200000,Manual,"",76000,2022-05-01
Nissan,Sunny,2001,99999,Automatic,"",104000,2022-05-01
Nissan,Qashqai,2020,79999,Automatic,"",440000,2022-05-01
Nissan,Qashqai,2020,39999,Automatic,"",466000,2022-05-01
Nissan,Qashqai,2015,139999,Automatic,"",306000,2022-05-01
Nissan,Qashqai,2016,119999,Automatic,"",358000,2022-05-01
Nissan,Qashqai,2017,99999,Automatic,"",306000,2022-05-01
Nissan,Sunny,2018,59999,Automatic,"",213000,2022-05-01
Nissan,Sunny,2016,159999,Automatic,"",157000,2022-05-01
Nissan,Sunny,2020,59999,Automatic,"",235000,2022-05-01
Nissan,Sunny,2018,19999,Automatic,"",180000,2022-05-01
Nissan,Sunny,2019,199999,Automatic,"",171000,2022-05-01
Nissan,Sunny,2014,59999,Automatic,"",195000,2022-05-01
Nissan,Sunny,2015,49999,Automatic,"",165000,2022-05-01
Nissan,Sunny,2014,159999,Automatic,"",178000,2022-05-01
