make,model,year,kilometers,transmission_type,extra_features,price,priced_at
Nissan,Sunny,2009,19999,Automatic,"",126000,2022-05-01
Nissan,Sunny,2014,139999,Automatic,"",172000,2022-05-01
Nissan,Sunny,2010,179999,Automatic,"",172000,2022-05-01
Nissan,Sunny,2022,19999,Automatic,"",242000,2022-05-01
Nissan,Sunny,2008,19999,Manual,"",116000,2022-05-01
Nissan,Sunny,2020,99999,Automatic,"",185000,2022-05-01
Nissan,Sunny,2014,159999,Automatic,"",15000,2022-05-01
Nissan,Sunny,2015,200000,Automatic,"",172000,2022-05-01
Nissan,Tiida,2013,79999,Automatic,ABS; Air Conditioning; Airbags; Alarm/Anti-Theft System; AM/FM Radio; Bluetooth System; EBD; Fog Lights; Power Mirrors; USB Charger,213000,2022-05-01
Nissan,Sentra,2020,99999,Automatic,"",292000,2022-05-01
Nissan,Qashqai,2017,99999,Automatic,"",307000,2022-05-01
Nissan,Qashqai,2013,119999,Automatic,"",250000,2022-05-01
Nissan,Qashqai,2012,159999,Automatic,"",223000,2022-05-01
Nissan,Qashqai,2019,79999,Automatic,"",393000,2022-05-01
Nissan,Qashqai,2017,119999,Automatic,"",309000,2022-05-01
Nissan,Qashqai,2014,199999,Automatic,"",237000,2022-05-01
Nissan,Sunny,2002,230000,Manual,"",107000,2022-05-01
