id,make,model,model_year,kilometers,transmission_type,price,priced_at,mileage_category,extra_features_count,model_age,price_moving_avg,competitor_price_diff,popularity,price_change_pct,dt_year,dt_month,dt_day,dt_quarter
552,Nissan,Juke,2012,65000.0,Automatic,274000,2022-06-05,50k-100k,6,10,227400,6940.476190476213,0.31,0.3110047846889952,2022,6,5,2
4079,Nissan,Juke,2012,140000.0,Automatic,233000,2022-06-07,100k-150k,26,10,234800,-34059.52380952379,0.31,-0.14963503649635035,2022,6,7,2
5385,Nissan,Juke,2012,140000.0,Automatic,228000,2022-06-08,100k-150k,26,10,241400,-39059.52380952379,0.31,-0.02145922746781115,2022,6,8,2
3063,Nissan,Juke,2012,113000.0,Automatic,191000,2022-06-09,100k-150k,26,10,237000,-76059.52380952379,0.31,-0.16228070175438591,2022,6,9,2
12091,Nissan,Juke,2012,155000.0,Automatic,245000,2022-06-10,150k-200k,26,10,227000,-22059.523809523787,0.31,0.2827225130890052,2022,6,10,2
19024,Nissan,Juke,2012,118000.0,Automatic,246000,2022-06-24,100k-150k,30,10,234200,-21059.523809523787,0.31,0.004081632653061273,2022,6,24,2
19061,Nissan,Juke,2012,199999.0,Automatic,249000,2022-06-24,150k-200k,14,10,228600,-18059.523809523787,0.31,0.012195121951219523,2022,6,24,2
19062,Nissan,Juke,2012,179999.0,Automatic,260000,2022-06-24,150k-200k,19,10,231800,-7059.523809523787,0.31,0.04417670682730934,2022,6,24,2
19123,Nissan,Juke,2012,118000.0,Automatic,240000,2022-06-24,100k-150k,9,10,238200,-27059.523809523787,0.31,-0.07692307692307687,2022,6,24,2
8060,Nissan,Juke,2012,9999.0,Automatic,258000,2022-06-25,0-50k,24,10,248000,-9059.523809523787,0.31,0.07499999999999996,2022,6,25,2
16871,Nissan,Juke,2012,119999.0,Automatic,228000,2022-06-26,100k-150k,22,10,250600,-39059.52380952379,0.31,-0.11627906976744184,2022,6,26,2
3675,Nissan,Juke,2012,19999.0,Automatic,258000,2022-07-10,0-50k,10,10,247000,-9059.523809523787,0.31,0.13157894736842102,2022,7,10,3
17236,Nissan,Juke,2012,89999.0,Automatic,248000,2022-07-25,50k-100k,26,10,248800,-19059.523809523787,0.31,-0.03875968992248058,2022,7,25,3
16456,Nissan,Juke,2012,119999.0,Automatic,255000,2022-08-01,100k-150k,23,10,246400,-12059.523809523787,0.31,0.02822580645161299,2022,8,1,3
12358,Nissan,Juke,2012,59999.0,Automatic,167000,2022-08-03,50k-100k,2,10,249400,-100059.52380952379,0.31,-0.34509803921568627,2022,8,3,3
15665,Nissan,Juke,2012,150000.0,Automatic,247000,2022-08-06,150k-200k,24,10,231200,-20059.523809523787,0.31,0.47904191616766467,2022,8,6,3
9783,Nissan,Juke,2012,139999.0,Automatic,265000,2022-08-25,100k-150k,26,10,235000,-2059.5238095237873,0.31,0.07287449392712553,2022,8,25,3
3790,Nissan,Juke,2012,150000.0,Automatic,252000,2022-09-03,150k-200k,11,10,236400,-15059.523809523787,0.31,-0.049056603773584895,2022,9,3,3
17335,Nissan,Juke,2012,152000.0,Automatic,219000,2022-10-03,150k-200k,23,10,237200,-48059.52380952379,0.31,-0.13095238095238093,2022,10,3,4
17558,Nissan,Juke,2012,123000.0,Automatic,317000,2022-10-17,100k-150k,26,10,230000,49940.47619047621,0.31,0.44748858447488593,2022,10,17,4
17614,Nissan,Juke,2012,130000.0,Automatic,266000,2022-10-17,100k-150k,26,10,260000,-1059.5238095237873,0.31,-0.1608832807570978,2022,10,17,4
11274,Nissan,Juke,2012,119000.0,Automatic,275000,2022-10-18,100k-150k,17,10,263800,7940.476190476213,0.31,0.03383458646616533,2022,10,18,4
11307,Nissan,Juke,2012,119999.0,Automatic,305000,2022-10-18,100k-150k,16,10,265800,37940.47619047621,0.31,0.10909090909090913,2022,10,18,4
7289,Nissan,Juke,2012,160000.0,Automatic,354000,2022-11-04,150k-200k,26,10,276400,86940.47619047621,0.31,0.16065573770491803,2022,11,4,4
13336,Nissan,Juke,2012,123000.0,Automatic,341000,2022-11-06,100k-150k,26,10,303400,73940.47619047621,0.31,-0.03672316384180796,2022,11,6,4
13373,Nissan,Juke,2012,119999.0,Automatic,325000,2022-11-06,100k-150k,7,10,308200,57940.47619047621,0.31,-0.04692082111436946,2022,11,6,4
15439,Nissan,Juke,2012,123000.0,Automatic,336000,2022-11-07,100k-150k,10,10,320000,68940.47619047621,0.31,0.03384615384615386,2022,11,7,4
15450,Nissan,Juke,2012,139999.0,Automatic,264000,2022-11-07,100k-150k,18,10,332200,-3059.5238095237873,0.31,-0.2142857142857143,2022,11,7,4
17189,Nissan,Juke,2012,137000.0,Automatic,320000,2022-11-29,100k-150k,6,10,324000,52940.47619047621,0.31,0.21212121212121215,2022,11,29,4
5289,Nissan,Juke,2012,119999.0,Automatic,340000,2022-12-13,100k-150k,20,10,317200,72940.47619047621,0.31,0.0625,2022,12,13,4
